"","logFC","AveExpr","t","P.Value","adj.P.Val","B","deltaBeta","CpG"
"cg23632979",-6.50734373189998,-6.45701937543936,-52.476703572416,1.59067691409559e-11,7.14854398475425e-09,16.4762039901609,0.121799062390873,"cg23632979"
"cg09876101",-6.63674787448572,-6.67029126791631,-52.3747993268581,1.61578187668084e-11,7.14854398475425e-09,16.4655738347728,0.107750683630046,"cg09876101"
"cg25473203",6.45147836725558,6.46481273910453,50.7236151087203,2.0914638806066e-11,7.14854398475425e-09,16.2880670730308,0.114321751847173,"cg25473203"
"cg23477406",-6.33910018945872,-6.38626562582281,-49.3842882731996,2.59447518568841e-11,7.14854398475425e-09,16.1364694381181,0.104830898372058,"cg23477406"
"cg07911905",6.33904468192819,6.31098715198562,49.3440520277365,2.61156195018464e-11,7.14854398475425e-09,16.1318048365393,0.113658888516162,"cg07911905"
"cg21727117",-5.91784227823382,-5.7859050615159,-47.9443876728336,3.29256781415797e-11,7.14854398475425e-09,15.9653697968312,-0.103129537178258,"cg21727117"
"cg18762016",-6.32909117427072,-6.28363892268629,-47.9239284594769,3.30390291287606e-11,7.14854398475425e-09,15.9628755221624,-0.102738285056196,"cg18762016"
"cg14035717",-6.07901203317249,-6.11799635358227,-46.3773646411622,4.30254700716893e-11,7.14854398475425e-09,15.7689677963063,-0.135543824930605,"cg14035717"
"cg16306731",-5.84394137895159,-5.8685750992357,-45.8791390496622,4.69338499777952e-11,7.14854398475425e-09,15.7041759201234,0.107078801164884,"cg16306731"
"cg26787894",-5.6965957534024,-5.80297426150596,-45.8546332812277,4.71361348833845e-11,7.14854398475425e-09,15.700958902468,0.145515738254385,"cg26787894"
"cg23662927",-5.86471874069232,-5.88737907966528,-45.5501315573645,4.97331084529796e-11,7.14854398475425e-09,15.6607462792764,-0.145816772656412,"cg23662927"
"cg21972318",-5.9652318862418,-6.03305185838453,-45.5399455192516,4.98227178525955e-11,7.14854398475425e-09,15.6593934239552,-0.146198717988614,"cg21972318"
"cg27337492",-6.2685600253094,-6.42265710352557,-44.2908387968397,6.23219175345513e-11,7.14854398475425e-09,15.4896308260292,-0.218681846815551,"cg27337492"
"cg23728636",-5.80383397218918,-5.84508961083462,-44.1047336498947,6.44699318790777e-11,7.14854398475425e-09,15.4636669300704,-0.130080672137577,"cg23728636"
"cg23037274",-5.70714677966983,-5.75806121442836,-44.1047249706091,6.44700339750159e-11,7.14854398475425e-09,15.4636657150573,-0.196644808343819,"cg23037274"
"cg06610783",-5.68858158546303,-5.7166424487522,-44.1041966390132,6.44762491730193e-11,7.14854398475425e-09,15.4635917531944,-0.206908039583107,"cg06610783"
"cg12170647",-5.98819600862978,-6.03786168882385,-44.1036351304459,6.44828553967673e-11,7.14854398475425e-09,15.4635131452655,-0.114513028665153,"cg12170647"
"cg17081801",-5.94998151357359,-5.86539357839835,-43.7662008150949,6.85939282445606e-11,7.14854398475425e-09,15.415978940966,0.106022656618308,"cg17081801"
"cg24994173",-5.83574016471564,-5.7303353884678,-43.6736050918751,6.9772964265399e-11,7.14854398475425e-09,15.4028312032659,-0.107536828982477,"cg24994173"
"cg17849948",-6.01435738170095,-6.10676144987826,-43.5306178026511,7.16386338011117e-11,7.14854398475425e-09,15.3824396988632,0.102583731000389,"cg17849948"
"cg23246901",-5.99310869878817,-6.00715791755678,-43.5288703271065,7.16617784991325e-11,7.14854398475425e-09,15.3821898223482,0.112289656237557,"cg23246901"
"cg03761210",-6.418727986727,-6.49944069409077,-43.3774451509902,7.36996230706919e-11,7.14854398475425e-09,15.3604755600832,-0.107122331563842,"cg03761210"
"cg11342415",-5.82267817754835,-5.90570790857045,-43.2607688941642,7.53142637943962e-11,7.14854398475425e-09,15.343660909374,0.138045258113166,"cg11342415"
"cg05913672",-6.018095865216,-6.06088629147423,-43.2159836231447,7.5944554203352e-11,7.14854398475425e-09,15.3371873712009,-0.103462054633382,"cg05913672"
"cg13220109",-6.67434882697359,-6.81428258732374,-42.9865286819143,7.92682053972414e-11,7.14854398475425e-09,15.3038509695965,0.120557294147146,"cg13220109"
"cg19387310",-5.33985686631912,-5.33678343184884,-42.783243660483,8.23497443701712e-11,7.14854398475425e-09,15.27407779066,0.101609341521966,"cg19387310"
"cg13191115",-5.54138857080824,-5.3567312939205,-42.593302443229,8.5351070121103e-11,7.14854398475425e-09,15.2460541003842,-0.110114568269507,"cg13191115"
"cg00641632",-6.4843696241873,-6.53212739238798,-42.5191535873947,8.6555912172831e-11,7.14854398475425e-09,15.2350601601577,0.100040947445694,"cg00641632"
"cg00697668",5.6778558572938,5.73248861533536,42.5183306196843,8.65693913117328e-11,7.14854398475425e-09,15.2349379687436,0.122606885998971,"cg00697668"
"cg05454323",-5.79678626691468,-5.89149582687609,-42.4975259857717,8.69109286025364e-11,7.14854398475425e-09,15.2318477177061,-0.128107846186695,"cg05454323"
"cg07178143",-5.70569165550924,-5.53387817496443,-42.3900970573563,8.86987893923251e-11,7.14854398475425e-09,15.2158522146357,0.115719233746478,"cg07178143"
"cg14983993",-5.48332791254635,-5.52307786721808,-42.3747580012413,8.89574205863277e-11,7.14854398475425e-09,15.2135630671135,0.146979159825058,"cg14983993"
"cg17764986",-5.3669963102323,-5.39522111121025,-42.3216526010499,8.98593936688203e-11,7.14854398475425e-09,15.205627625909,0.124098504121015,"cg17764986"
"cg14489817",-6.05294501188232,-6.15755072035829,-42.1973086257236,9.20117903868434e-11,7.14854398475425e-09,15.1869851742409,-0.166360474063196,"cg14489817"
"cg14082413",-6.09896265726324,-6.19073065800772,-42.1437469029967,9.29567429348147e-11,7.14854398475425e-09,15.1789279955706,0.10153220320372,"cg14082413"
"cg02513392",6.45731157402719,6.51670564299294,42.1436794068355,9.29579405797561e-11,7.14854398475425e-09,15.1789178320308,0.112882265861632,"cg02513392"
"cg24166694",-5.41957617543356,-5.39816263281561,-42.1432943938069,9.29647725427663e-11,7.14854398475425e-09,15.1788598564596,0.125901843884562,"cg24166694"
"cg20382932",-5.60719176799253,-5.52002904289665,-42.1284502439176,9.32286089671868e-11,7.14854398475425e-09,15.1766239726807,0.133202603230613,"cg20382932"
"cg16628641",6.54198821705496,6.68592431195023,42.0575145100767,9.45010732758984e-11,7.14854398475425e-09,15.1659221114472,0.107196551694382,"cg16628641"
"cg15662184",5.81245844633719,5.76123149239308,42.0341452625166,9.49245403560924e-11,7.14854398475425e-09,15.1623902065976,0.153299078551882,"cg15662184"
"cg06350612",-6.04711456229035,-6.15059337066383,-41.9324587527588,9.67921569234927e-11,7.14854398475425e-09,15.1469856271708,0.113982797046665,"cg06350612"
"cg07952040",-5.80829792396521,-5.84810232960373,-41.8189641559984,9.89255533096505e-11,7.14854398475425e-09,15.1297224068246,0.312318834590186,"cg07952040"
